---------------------------------------------------------------------------------------------------
Date: 4/12/2026 -- 17:17:08 (uptime: 0d, 00h 00m 01s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
app_layer.tx.mdns                                            | Total                     | 17
flow.end.state.new                                           | Total                     | 12
flow.end.state.established                                   | Total                     | 152
flow.end.state.closed                                        | Total                     | 151
flow.end.tcp_state.established                               | Total                     | 2
flow.end.tcp_state.closed                                    | Total                     | 151
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9800
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 1
flow.mgr.flows_notimeout                                     | Total                     | 1
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 259
flow.recycler.queue_max                                      | Total                     | 159
tcp.memuse                                                   | Total                     | 2490368
tcp.reassembly_memuse                                        | Total                     | 463568
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
---------------------------------------------------------------------------------------------------
Date: 4/12/2026 -- 17:22:34 (uptime: 0d, 00h 00m 01s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 51181
decoder.bytes                                                | Total                     | 26423689
decoder.ipv4                                                 | Total                     | 51127
decoder.ethernet                                             | Total                     | 51181
decoder.arp                                                  | Total                     | 54
decoder.tcp                                                  | Total                     | 50296
tcp.syn                                                      | Total                     | 153
tcp.synack                                                   | Total                     | 153
tcp.rst                                                      | Total                     | 157
decoder.udp                                                  | Total                     | 818
decoder.icmpv4                                               | Total                     | 13
decoder.avg_pkt_size                                         | Total                     | 516
decoder.max_pkt_size                                         | Total                     | 1514
flow.total                                                   | Total                     | 315
flow.tcp                                                     | Total                     | 154
flow.udp                                                     | Total                     | 161
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 4
flow.wrk.flows_evicted_needs_work                            | Total                     | 54
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 106
flow.wrk.flows_evicted                                       | Total                     | 1
flow.wrk.flows_injected                                      | Total                     | 54
tcp.sessions                                                 | Total                     | 153
tcp.ssn_from_pool                                            | Total                     | 153
tcp.segment_from_cache                                       | Total                     | 19120
tcp.segment_from_pool                                        | Total                     | 8265
tcp.stream_depth_reached                                     | Total                     | 2
tcp.overlap                                                  | Total                     | 2
app_layer.flow.http                                          | Total                     | 6
app_layer.tx.http                                            | Total                     | 8
app_layer.flow.tls                                           | Total                     | 108
app_layer.flow.smb                                           | Total                     | 3
app_layer.tx.smb                                             | Total                     | 3107
app_layer.flow.dcerpc_tcp                                    | Total                     | 10
app_layer.tx.dcerpc_tcp                                      | Total                     | 60
app_layer.flow.ntp                                           | Total                     | 1
app_layer.flow.krb5_tcp                                      | Total                     | 8
app_layer.tx.krb5_tcp                                        | Total                     | 16
app_layer.flow.quic                                          | Total                     | 3
app_layer.flow.dhcp                                          | Total                     | 2
app_layer.flow.ldap_tcp                                      | Total                     | 13
app_layer.tx.ldap_tcp                                        | Total                     | 18
app_layer.error.ldap_tcp.parser                              | Total                     | 13
app_layer.flow.mdns                                          | Total                     | 2
app_layer.flow.failed_udp                                    | Total                     | 7
app_layer.flow.dns_udp                                       | Total                     | 141
app_layer.tx.dns_udp                                         | Total                     | 418
app_layer.tx.ntp                                             | Total                     | 1
app_layer.tx.quic                                            | Total                     | 15
app_layer.tx.dhcp                                            | Total                     | 4
app_layer.flow.ldap_udp                                      | Total                     | 5
app_layer.tx.ldap_udp                                        | Total                     | 7
app_layer.tx.mdns                                            | Total                     | 17
flow.end.state.new                                           | Total                     | 12
flow.end.state.established                                   | Total                     | 152
flow.end.state.closed                                        | Total                     | 151
flow.end.tcp_state.established                               | Total                     | 2
flow.end.tcp_state.closed                                    | Total                     | 151
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9700
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 260
flow.recycler.queue_max                                      | Total                     | 260
tcp.memuse                                                   | Total                     | 2490368
tcp.reassembly_memuse                                        | Total                     | 465248
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
---------------------------------------------------------------------------------------------------
Date: 4/12/2026 -- 17:26:43 (uptime: 0d, 00h 00m 00s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 51181
decoder.bytes                                                | Total                     | 26423689
decoder.ipv4                                                 | Total                     | 51127
decoder.ethernet                                             | Total                     | 51181
decoder.arp                                                  | Total                     | 54
decoder.tcp                                                  | Total                     | 50296
tcp.syn                                                      | Total                     | 153
tcp.synack                                                   | Total                     | 153
tcp.rst                                                      | Total                     | 157
decoder.udp                                                  | Total                     | 818
decoder.icmpv4                                               | Total                     | 13
decoder.avg_pkt_size                                         | Total                     | 516
decoder.max_pkt_size                                         | Total                     | 1514
flow.total                                                   | Total                     | 315
flow.tcp                                                     | Total                     | 154
flow.udp                                                     | Total                     | 161
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 4
flow.wrk.flows_evicted_needs_work                            | Total                     | 54
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 106
flow.wrk.flows_evicted                                       | Total                     | 2
flow.wrk.flows_injected                                      | Total                     | 54
tcp.sessions                                                 | Total                     | 153
tcp.ssn_from_pool                                            | Total                     | 153
tcp.segment_from_cache                                       | Total                     | 19070
tcp.segment_from_pool                                        | Total                     | 8315
tcp.stream_depth_reached                                     | Total                     | 2
tcp.overlap                                                  | Total                     | 2
detect.alert                                                 | Total                     | 2
app_layer.flow.http                                          | Total                     | 6
app_layer.tx.http                                            | Total                     | 8
app_layer.flow.tls                                           | Total                     | 108
app_layer.flow.smb                                           | Total                     | 3
app_layer.tx.smb                                             | Total                     | 3107
app_layer.flow.dcerpc_tcp                                    | Total                     | 10
app_layer.tx.dcerpc_tcp                                      | Total                     | 60
app_layer.flow.ntp                                           | Total                     | 1
app_layer.flow.krb5_tcp                                      | Total                     | 8
app_layer.tx.krb5_tcp                                        | Total                     | 16
app_layer.flow.quic                                          | Total                     | 3
app_layer.flow.dhcp                                          | Total                     | 2
app_layer.flow.ldap_tcp                                      | Total                     | 13
app_layer.tx.ldap_tcp                                        | Total                     | 18
app_layer.error.ldap_tcp.parser                              | Total                     | 13
app_layer.flow.mdns                                          | Total                     | 2
app_layer.flow.failed_udp                                    | Total                     | 7
app_layer.flow.dns_udp                                       | Total                     | 141
app_layer.tx.dns_udp                                         | Total                     | 418
app_layer.tx.ntp                                             | Total                     | 1
app_layer.tx.quic                                            | Total                     | 15
app_layer.tx.dhcp                                            | Total                     | 4
app_layer.flow.ldap_udp                                      | Total                     | 5
app_layer.tx.ldap_udp                                        | Total                     | 7
app_layer.tx.mdns                                            | Total                     | 17
flow.end.state.new                                           | Total                     | 12
flow.end.state.established                                   | Total                     | 152
flow.end.state.closed                                        | Total                     | 151
flow.end.tcp_state.established                               | Total                     | 2
flow.end.tcp_state.closed                                    | Total                     | 151
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9900
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 259
flow.recycler.queue_max                                      | Total                     | 184
tcp.memuse                                                   | Total                     | 2490368
tcp.reassembly_memuse                                        | Total                     | 465584
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
---------------------------------------------------------------------------------------------------
Date: 4/12/2026 -- 17:30:25 (uptime: 0d, 00h 00m 01s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 51181
decoder.bytes                                                | Total                     | 26423689
decoder.ipv4                                                 | Total                     | 51127
decoder.ethernet                                             | Total                     | 51181
decoder.arp                                                  | Total                     | 54
decoder.tcp                                                  | Total                     | 50296
tcp.syn                                                      | Total                     | 153
tcp.synack                                                   | Total                     | 153
tcp.rst                                                      | Total                     | 157
decoder.udp                                                  | Total                     | 818
decoder.icmpv4                                               | Total                     | 13
decoder.avg_pkt_size                                         | Total                     | 516
decoder.max_pkt_size                                         | Total                     | 1514
flow.total                                                   | Total                     | 315
flow.tcp                                                     | Total                     | 154
flow.udp                                                     | Total                     | 161
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 4
flow.wrk.flows_evicted_needs_work                            | Total                     | 54
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 106
flow.wrk.flows_evicted                                       | Total                     | 2
flow.wrk.flows_injected                                      | Total                     | 54
tcp.sessions                                                 | Total                     | 153
tcp.ssn_from_pool                                            | Total                     | 153
tcp.segment_from_cache                                       | Total                     | 19061
tcp.segment_from_pool                                        | Total                     | 8324
tcp.stream_depth_reached                                     | Total                     | 2
tcp.overlap                                                  | Total                     | 2
detect.alert                                                 | Total                     | 2
app_layer.flow.http                                          | Total                     | 6
app_layer.tx.http                                            | Total                     | 8
app_layer.flow.tls                                           | Total                     | 108
app_layer.flow.smb                                           | Total                     | 3
app_layer.tx.smb                                             | Total                     | 3107
app_layer.flow.dcerpc_tcp                                    | Total                     | 10
app_layer.tx.dcerpc_tcp                                      | Total                     | 60
app_layer.flow.ntp                                           | Total                     | 1
app_layer.flow.krb5_tcp                                      | Total                     | 8
app_layer.tx.krb5_tcp                                        | Total                     | 16
app_layer.flow.quic                                          | Total                     | 3
app_layer.flow.dhcp                                          | Total                     | 2
app_layer.flow.ldap_tcp                                      | Total                     | 13
app_layer.tx.ldap_tcp                                        | Total                     | 18
app_layer.error.ldap_tcp.parser                              | Total                     | 13
app_layer.flow.mdns                                          | Total                     | 2
app_layer.flow.failed_udp                                    | Total                     | 7
app_layer.flow.dns_udp                                       | Total                     | 141
app_layer.tx.dns_udp                                         | Total                     | 418
app_layer.tx.ntp                                             | Total                     | 1
app_layer.tx.quic                                            | Total                     | 15
app_layer.tx.dhcp                                            | Total                     | 4
app_layer.flow.ldap_udp                                      | Total                     | 5
app_layer.tx.ldap_udp                                        | Total                     | 7
app_layer.tx.mdns                                            | Total                     | 17
flow.end.state.new                                           | Total                     | 12
flow.end.state.established                                   | Total                     | 152
flow.end.state.closed                                        | Total                     | 151
flow.end.tcp_state.established                               | Total                     | 2
flow.end.tcp_state.closed                                    | Total                     | 151
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9600
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 3
flow.mgr.flows_notimeout                                     | Total                     | 3
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 259
flow.recycler.queue_max                                      | Total                     | 109
tcp.memuse                                                   | Total                     | 2490368
tcp.reassembly_memuse                                        | Total                     | 462504
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
---------------------------------------------------------------------------------------------------
Date: 4/12/2026 -- 17:31:03 (uptime: 0d, 00h 00m 01s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 51181
decoder.bytes                                                | Total                     | 26423689
decoder.ipv4                                                 | Total                     | 51127
decoder.ethernet                                             | Total                     | 51181
decoder.arp                                                  | Total                     | 54
decoder.tcp                                                  | Total                     | 50296
tcp.syn                                                      | Total                     | 153
tcp.synack                                                   | Total                     | 153
tcp.rst                                                      | Total                     | 157
decoder.udp                                                  | Total                     | 818
decoder.icmpv4                                               | Total                     | 13
decoder.avg_pkt_size                                         | Total                     | 516
decoder.max_pkt_size                                         | Total                     | 1514
flow.total                                                   | Total                     | 315
flow.tcp                                                     | Total                     | 154
flow.udp                                                     | Total                     | 161
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 4
flow.wrk.flows_evicted_needs_work                            | Total                     | 54
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 106
flow.wrk.flows_evicted                                       | Total                     | 1
flow.wrk.flows_injected                                      | Total                     | 54
tcp.sessions                                                 | Total                     | 153
tcp.ssn_from_pool                                            | Total                     | 153
tcp.segment_from_cache                                       | Total                     | 19064
tcp.segment_from_pool                                        | Total                     | 8321
tcp.stream_depth_reached                                     | Total                     | 2
tcp.overlap                                                  | Total                     | 2
detect.alert                                                 | Total                     | 2
app_layer.flow.http                                          | Total                     | 6
app_layer.tx.http                                            | Total                     | 8
app_layer.flow.tls                                           | Total                     | 108
app_layer.flow.smb                                           | Total                     | 3
app_layer.tx.smb                                             | Total                     | 3107
app_layer.flow.dcerpc_tcp                                    | Total                     | 10
app_layer.tx.dcerpc_tcp                                      | Total                     | 60
app_layer.flow.ntp                                           | Total                     | 1
app_layer.flow.krb5_tcp                                      | Total                     | 8
app_layer.tx.krb5_tcp                                        | Total                     | 16
app_layer.flow.quic                                          | Total                     | 3
app_layer.flow.dhcp                                          | Total                     | 2
app_layer.flow.ldap_tcp                                      | Total                     | 13
app_layer.tx.ldap_tcp                                        | Total                     | 18
app_layer.error.ldap_tcp.parser                              | Total                     | 13
app_layer.flow.mdns                                          | Total                     | 2
app_layer.flow.failed_udp                                    | Total                     | 7
app_layer.flow.dns_udp                                       | Total                     | 141
app_layer.tx.dns_udp                                         | Total                     | 418
app_layer.tx.ntp                                             | Total                     | 1
app_layer.tx.quic                                            | Total                     | 15
app_layer.tx.dhcp                                            | Total                     | 4
app_layer.flow.ldap_udp                                      | Total                     | 5
app_layer.tx.ldap_udp                                        | Total                     | 7
app_layer.tx.mdns                                            | Total                     | 17
flow.end.state.new                                           | Total                     | 12
flow.end.state.established                                   | Total                     | 152
flow.end.state.closed                                        | Total                     | 151
flow.end.tcp_state.established                               | Total                     | 2
flow.end.tcp_state.closed                                    | Total                     | 151
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9600
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 1
flow.mgr.flows_notimeout                                     | Total                     | 1
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 260
flow.recycler.queue_max                                      | Total                     | 235
tcp.memuse                                                   | Total                     | 2490368
tcp.reassembly_memuse                                        | Total                     | 463904
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
